Transaction Hash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Token
"0x6a5ea3ba288210e1723e121d06e61295bbc15d82fb156c57712c6fa2ae1f44ba","Success","Transfer","37985243","2024-04-19 03:15:52","0x21D135c07885A370627748484Ab0c37747951A3F","","0x62F03b52c377FeA3EB71D451a95ad86C818755D1","0x1eedA3Beeb8197125A7c8C67d05257f09","93.84339439","$93.82","Binance-Peg BSC-USD (BSC-USD)"
"0xa7aaf398cbf3a3503d45b937523cf380b91ad0313b36fc49907b36ef37c65061","Success","Transfer","38107568","2024-04-23 09:22:54","0x50c7211Dad504841c2e049C205C82Dfe9e00712a","","0x62F03b52c377FeA3EB71D451a95ad86C818755D1","0x1eedA3Beeb8197125A7c8C67d05257f09","50","$49.99","Binance-Peg BSC-USD (BSC-USD)"
"0xd30ebddc121fb8d3583a731ec15fa7a9f73dfad83e7bc5b429d21e9b8a4dc5cc","Success","Transfer","38215162","2024-04-27 03:11:31","0xd06132cB459A41762836bE935271733D12D0567E","","0x62F03b52c377FeA3EB71D451a95ad86C818755D1","0x1eedA3Beeb8197125A7c8C67d05257f09","0.0093149","$0.01","Binance-Peg BSC-USD (BSC-USD)"
"0x11422c9c3888e6f141951b09f41ae72543d418ed844f5ba786ffe9cf79497e60","Success","0xf8b037d9","38252201","2024-04-28 10:06:33","0x0000000000000000000000000000000000000000","Null: 0x000...000","0x62F03b52c377FeA3EB71D451a95ad86C818755D1","0x1eedA3Beeb8197125A7c8C67d05257f09","62,000","$0.00"," BEP-20: BOOM"
"0xa8ea138dd619655a36eb865a5db60c675d09e523395415ce260b49551c0e9da5","Success","Transfer","38507120","2024-05-07 06:56:22","0x5C262c4Ed8E30a5CA4Efb223e0CA53f5f13c3BD3","","0x62F03b52c377FeA3EB71D451a95ad86C818755D1","0x1eedA3Beeb8197125A7c8C67d05257f09","9,308.56217229","$0.00"," BEP-20: DogeVerse"
"0x24a315ce77bde951393595e9f11abaa675df192b4d9fe9f9d39898d8fbdfc3a6","Success","Transfer","38835736","2024-05-18 17:22:36","0x3Bf1C469f95450aC75f4405968cbA59F6A96577B","","0x62F03b52c377FeA3EB71D451a95ad86C818755D1","0x1eedA3Beeb8197125A7c8C67d05257f09","396.59794643","$0.00"," BEP-20: DogeVerse"
"0x06a76b6eef91597a73662f2f37011ea72972db68e326ed7d02c157eef46982b4","Success","Transfer","39344263","2024-06-05 10:16:46","0xb969cEEd07b9579D41010BfB8124F378C7Ae5598","","0x62F03b52c377FeA3EB71D451a95ad86C818755D1","0x1eedA3Beeb8197125A7c8C67d05257f09","1,000","$0.00"," BEP-20: Dogeverse"
"0x23b0709443ca806ce6fa957304be2ad3d51c3ff178aac504a028f48c8664bf66","Success","Transfer","39348097","2024-06-05 13:29:08","0x98F804AC6987F2708dF54F4A26daBd7c7b16E8A9","","0x62F03b52c377FeA3EB71D451a95ad86C818755D1","0x1eedA3Beeb8197125A7c8C67d05257f09","81","$0.00"," BEP-20: Dogeverse"
"0xf0b8a5fe9fdcac72b5df0f70c614f910afb4407ff7384a8044f0a74ec07fe215","Success","Transfer","39348261","2024-06-05 13:37:22","0x98F804AC6987F2708dF54F4A26daBd7c7b16E8A9","","0x62F03b52c377FeA3EB71D451a95ad86C818755D1","0x1eedA3Beeb8197125A7c8C67d05257f09","60","$0.00"," BEP-20: Dogeverse"
"0xcaf7654095bea70f820b37730de94d2cc1c540f27a95defc2acd6165a46c540c","Success","Transfer","39351657","2024-06-05 16:27:40","0xe2fc31F816A9b94326492132018C3aEcC4a93aE1","Binance: Hot Wallet 7","0x62F03b52c377FeA3EB71D451a95ad86C818755D1","0x1eedA3Beeb8197125A7c8C67d05257f09","0.0952","$13.77","SOLANA (SOL)"
"0x9586599ff15af37e7299c893ccac9cebc215daa6e5cf6e32672f6895b80aa384","Success","Transfer","39368010","2024-06-06 06:08:30","0xa87c8dEC86179D83BD1cc556ffa4686086e098Ab","","0x62F03b52c377FeA3EB71D451a95ad86C818755D1","0x1eedA3Beeb8197125A7c8C67d05257f09","10","$0.00"," BEP-20: Dogeverse"
